repo,level,label,confidence,artifacts,tools,l2_primary,l3_primary,l4_primary
airbyte,4,Agentic Orchestration,0.772,2560,github-copilot,1985,370,205
airbyte-python-cdk,4,Agentic Orchestration,0.667,16,github-copilot,11,3,2
airframe,4,Agentic Orchestration,0.794,68,"claude-code, github-copilot",55,10,3
aituber-kit,3,Agent-Augmented,0.741,23,claude-code,12,11,0
alien,3,Agent-Augmented,0.615,4,github-copilot,3,1,0
ami2py,4,Agentic Orchestration,0.44,3,github-copilot,1,1,1
analytics,2,Grounded Prompting,0.673,3,shared,3,0,0
android,4,Agentic Orchestration,0.703,236,github-copilot,223,8,5
android-libraries,3,Agent-Augmented,0.765,17,github-copilot,14,3,0
antiwork,1,Ad Hoc,1.0,1,,1,0,0
appearancemenumod,3,Agent-Augmented,0.44,2,shared,1,1,0
appkit,4,Agentic Orchestration,0.842,51,"cursor, github-copilot",41,9,1
arcade-services,4,Agentic Orchestration,0.65,15,github-copilot,9,5,1
ark_framework,1,Ad Hoc,1.0,1,,1,0,0
aspire,4,Agentic Orchestration,0.803,178,github-copilot,125,52,1
aspnetcore,4,Agentic Orchestration,0.808,232,github-copilot,185,42,5
assistant-ui,1,Ad Hoc,1.0,14,,13,1,0
attach-gateway,4,Agentic Orchestration,0.667,16,shared,11,4,1
audioplayer,2,Grounded Prompting,0.568,6,"github-copilot, shared",6,0,0
autobots.ai,1,Ad Hoc,1.0,16,,16,0,0
autogen,4,Agentic Orchestration,0.751,142,github-copilot,73,53,16
autonomous_mower,4,Agentic Orchestration,0.804,50,github-copilot,29,15,6
autorest.typescript,2,Grounded Prompting,0.527,4,github-copilot,4,0,0
avalan,3,Agent-Augmented,0.634,13,"claude-code, shared",7,6,0
awesome-reviewers,4,Agentic Orchestration,0.839,4431,claude-code,4207,194,30
axum-reverse-proxy,1,Ad Hoc,1.0,1,,0,1,0
az-bootstrap,4,Agentic Orchestration,0.66,5,github-copilot,4,0,1
azkar-ios,1,Ad Hoc,1.0,2,,2,0,0
azle,4,Agentic Orchestration,0.806,260,"github-copilot, shared",219,39,2
azure-ai-travel-agents,4,Agentic Orchestration,0.771,29,"github-copilot, shared",9,13,7
azure-container-networking,4,Agentic Orchestration,0.79,45,github-copilot,36,5,4
azure-devops-mcp-server,1,Ad Hoc,1.0,3,,0,2,1
azure-devops-migration-tools,4,Agentic Orchestration,0.849,93,github-copilot,86,5,2
azure-mcp,4,Agentic Orchestration,0.743,68,github-copilot,34,33,1
azure-sdk-tools,4,Agentic Orchestration,0.826,283,github-copilot,194,74,15
azure-storage-azcopy,3,Agent-Augmented,0.66,7,github-copilot,6,1,0
bionic-gpt,4,Agentic Orchestration,0.78,102,shared,60,28,14
bitcoin-tribe,1,Ad Hoc,1.0,3,,3,0,0
boytacean,2,Grounded Prompting,0.72,10,"claude-code, shared",10,0,0
brev-cli,1,Ad Hoc,1.0,10,,4,6,0
